what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1232724439744
started,bundle,org.eclipse.wst.xml.core,1.1.306.v200810210016,org.eclipse.wst.xml.core,1232724440537
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1232724441907
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232724443744
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20080730_r341,org.eclipse.pde.api.tools,1232724443925
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232724453164
started,bundle,org.eclipse.wst.html.core,1.1.203.v200810291731,org.eclipse.wst.html.core,1232724456170
opened,editor,com.aptana.ide.server.jetty,1.2.1.020234,com.aptana.ide.server.jetty.PortalEditor,1232724493520
activated,editor,com.aptana.ide.server.jetty,1.2.1.020234,com.aptana.ide.server.jetty.PortalEditor,1232724498004
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232724498199
closed,editor,com.aptana.ide.server.jetty,1.2.1.020234,com.aptana.ide.server.jetty.PortalEditor,1232724498200
started,bundle,com.aptana.ide.scripting,1.2.1.020234,com.aptana.ide.scripting,1232724522738
started,bundle,com.aptana.ide.search,1.2.1.020234,com.aptana.ide.search,1232724522779
started,bundle,com.aptana.ide.ssh,1.2.1.020234,com.aptana.ide.ssh,1232724522794
started,bundle,org.eclipse.eclipsemonkey,1.2.1.020234,org.eclipse.eclipsemonkey,1232724523566
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.1.020234,org.eclipse.eclipsemonkey.lang.javascript,1232724523582
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.1.020234,org.eclipse.eclipsemonkey.doms,1232724524774
started,bundle,org.eclipse.wst.web,1.1.205.v200811132030,org.eclipse.wst.web,1232724525002
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1232724525030
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1232724525034
started,bundle,org.eclipse.jst.jsf.common,1.1.3.v20080915,org.eclipse.jst.jsf.common,1232724525054
started,bundle,org.eclipse.jst.jsf.core,1.1.102.v20080909,org.eclipse.jst.jsf.core,1232724525061
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1232724525067
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1232724525200
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232724525320
