what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234357744597
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.CompilationUnitEditor,1234357755470
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.CompilationUnitEditor,1234357755673
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234357757392
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.ClassFileEditor,1234357765750
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.ClassFileEditor,1234357765906
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1234357766031
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.CompilationUnitEditor,1234357771233
opened,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.callhierarchy.view,1234357774155
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.callhierarchy.view,1234357774202
executed,command,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1234357774295
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.CompilationUnitEditor,1234357785700
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234357791277
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358425366
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234358425398
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358428194
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358438036
activated,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.productEditor,1234358451065
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358459032
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358459094
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358460079
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358463265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358466140
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358467733
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358471717
