what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358473060
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358474420
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358476029
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358480981
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358489229
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358489870
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358510006
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234358515443
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358840761
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358842168
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.I20080327-1500,org.eclipse.mylyn.ide.ant,1234358842215
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.I20080327-1500,org.eclipse.mylyn.pde.ui,1234358842231
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.I20080327-1500,org.eclipse.mylyn.resources.ui,1234358842231
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234358842950
stopped,bundle,com.omondo.uml.std,3.4.0.v20080905,com.omondo.uml.std,1234358852207
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.I20080327-1500,org.eclipse.mylyn.ide.ant,1234358852207
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.0.I20080327-1500,org.eclipse.mylyn.pde.ui,1234358852207
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080429-1700,org.eclipse.pde.api.tools.ui,1234358852207
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080428-1100,org.eclipse.pde.p2.ui,1234358852207
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080501-1800,org.eclipse.pde.runtime,1234358852207
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080331-2030,org.eclipse.pde.ui.templates,1234358852207
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui,1234358852207
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080425,org.eclipse.ant.ui,1234358852207
stopped,bundle,com.omondo.uml.docgen,3.4.0.v20080905,com.omondo.uml.docgen,1234358852207
stopped,bundle,com.omondo.uml.core,3.4.0.v20080905,com.omondo.uml.core,1234358852207
