what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356075308
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356075589
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356080526
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356085447
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356085728
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356085962
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356108957
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356131467
started,bundle,org.eclipse.wst.sse.ui,1.1.0.v200805010257,org.eclipse.wst.sse.ui,1234356141324
opened,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.productEditor,1234356141527
activated,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.productEditor,1234356141683
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234356201028
opened,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.productEditor,1234356205698
activated,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.productEditor,1234356205839
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.save,1234356238596
started,bundle,org.eclipse.debug.ui,3.4.0.v20080430-1630,org.eclipse.debug.ui,1234356260575
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356260607
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356260700
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080430-1630,org.eclipse.jdt.debug,1234356261950
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080430-1630,org.eclipse.jdt.debug.ui,1234356262044
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356262216
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356264559
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356268167
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356270135
opened,editor,org.eclipse.ui.editors,3.4.0.v20080430-0100,org.eclipse.ui.DefaultTextEditor,1234356270292
