what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1233037873460
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1233037873461
stopped,bundle,org.eclipse.emf.compare.ui,0.8.1.v200809170822,org.eclipse.emf.compare.ui,1233037873461
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1233037873461
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1233037873461
stopped,bundle,org.polarion.team.svn.ui,1.1.7,org.polarion.team.svn.ui,1233037873494
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1233037873494
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1233037873495
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1233037873497
stopped,bundle,org.eclipse.gmf.ecore.editor,2.0.100.v20080610-1132,org.eclipse.gmf.ecore.editor,1233037873498
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity,1233037873500
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz,1233037873502
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.0.v200806112132,org.eclipse.uml2.diagram.component,1233037873503
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.0.v200806112132,org.eclipse.uml2.diagram.csd,1233037873504
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.0.v200806112132,org.eclipse.uml2.diagram.deploy,1233037873505
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.0.v200806112132,org.eclipse.uml2.diagram.profile,1233037873507
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.0.v200806112132,org.eclipse.uml2.diagram.statemachine,1233037873509
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase,1233037873510
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.1.2.v20080903-1510,org.eclipse.gmf.runtime.diagram.ui.render,1233037873511
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.1.2.v20080916-2008,org.eclipse.gmf.runtime.diagram.ui.printing.render,1233037873513
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.runtime.ui,1233037873514
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.runtime,1233037873514
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1233037873515
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1233037873515
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.editor,1233037873515
