what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.compatibility,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.compatibility,1233824976482
started,bundle,org.eclipse.mylyn.context.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.core,1233824976483
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1233824976484
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1233824976484
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1233824976484
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1233824976485
started,bundle,org.eclipse.pde,3.4.0.v20080603,org.eclipse.pde,1233824976485
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20080730_r341,org.eclipse.pde.api.tools,1233824976492
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1233824976492
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1233824976493
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1233824976494
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1233824976495
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1233824976495
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1233824977557
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20080805,org.eclipse.pde.build,1233824978237
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233824978859
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233824992642
stopped,bundle,org.eclipse.emf.mint.ui,0.7.1.v200809162149,org.eclipse.emf.mint.ui,1233824994647
stopped,bundle,org.eclipse.emf.search.codegen,0.7.0.v200806130939,org.eclipse.emf.search.codegen,1233824994648
stopped,bundle,org.eclipse.emf.ecoretools.diagram.search,0.7.0.v200806130939,org.eclipse.emf.ecoretools.diagram.search,1233824994648
stopped,bundle,org.eclipse.uml2.diagram.clazz.search,0.7.0.v200806130939,org.eclipse.uml2.diagram.clazz.search,1233824994648
stopped,bundle,org.eclipse.uml2.search.common.ui,0.7.0.v200806130939,org.eclipse.uml2.search.common.ui,1233824994649
stopped,bundle,org.eclipse.emf.search.common.ui,0.7.0.v200806130939,org.eclipse.emf.search.common.ui,1233824994650
stopped,bundle,org.eclipse.uml2.search.ocl.ui,0.7.0.v200806130939,org.eclipse.uml2.search.ocl.ui,1233824994651
stopped,bundle,org.eclipse.emf.search.ecore.ocl.ui,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ocl.ui,1233824994652
