what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.manifestEditor,1234355929998
activated,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.manifestEditor,1234355930185
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.CompilationUnitEditor,1234355959866
closed,editor,org.eclipse.pde.ui,3.4.0.v20080501-1300,org.eclipse.pde.ui.manifestEditor,1234355959866
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080430-0100,org.eclipse.jdt.junit,1234355964568
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234355964818
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356001731
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356001763
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356001841
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356014447
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356035880
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356036177
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356036348
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356044659
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356044925
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356045690
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356051189
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356051470
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356051673
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356054782
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356055063
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356056953
executed,command,org.eclipse.ui,3.4.0.I20080501-1300a,org.eclipse.ui.file.refresh,1234356069153
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356069435
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356071668
