what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.4.0.v20080430-0100,org.eclipse.ui.DefaultTextEditor,1234356270432
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356286913
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356349819
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356351506
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356352068
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356353130
opened,view,org.eclipse.ui.console,3.3.0.v20080425,org.eclipse.ui.console.ConsoleView,1234356356301
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356441296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356443811
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356456011
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356463446
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356468539
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356475521
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356479333
executed,command,org.eclipse.ui.ide,3.4.0.I20080430-1800,org.eclipse.ui.project.cleanAction,1234356479348
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356479661
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356713842
activated,view,org.eclipse.jdt.ui,3.4.0.v20080430-0100,org.eclipse.jdt.ui.PackageExplorer,1234356713873
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356717267
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356717345
activated,editor,org.eclipse.ui.editors,3.4.0.v20080430-0100,org.eclipse.ui.DefaultTextEditor,1234356719831
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356723803
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356723819
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234356723835
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080501-0100,,1234357741066
