what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.1.v200809170426,org.eclipse.m2m.atl.engine.emfvm,1233037873518
stopped,bundle,org.eclipse.m2m.atl.adt.debug,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.debug,1233037873519
stopped,bundle,org.eclipse.m2m.atl.adt.perspective,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.perspective,1233037873519
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.common.ui,1233037873520
stopped,bundle,org.eclipse.m2m.qvt.oml.project,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.project,1233037873520
stopped,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1233037873522
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1233037873522
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080909,org.eclipse.equinox.p2.ui,1233037873522
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1233037873522
stopped,bundle,org.eclipse.emf.cheatsheets,2.4.0.v200808251517,org.eclipse.emf.cheatsheets,1233037873549
stopped,bundle,org.eclipse.emf.teneo.hibernate.eclipse,1.0.1.v200809211527,org.eclipse.emf.teneo.hibernate.eclipse,1233037873551
stopped,bundle,org.eclipse.emf.teneo.jpox.eclipse,1.0.1.v200809211527,org.eclipse.emf.teneo.jpox.eclipse,1233037873570
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.0.1.v200809211527,org.eclipse.emf.teneo.eclipse,1233037873571
stopped,bundle,org.eclipse.sdk,3.4.1.v200809111700,org.eclipse.sdk,1233037873571
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1233037873572
stopped,bundle,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui,1233037873572
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1233037873573
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1233037873573
stopped,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1233037873573
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.2.0.v200805130238,org.eclipse.emf.validation.ui.ide,1233037873574
